case,run,result,gc_mode,allocated_bytes,copied_bytes,max_residency_bytes,mut_elapsed_s,total_elapsed_s
data/satlib/uf20-91/uf20-01.cnf,1,SAT,nonmoving,1441600,9120,1076128,0.001,0.012
data/satlib/uf20-91/uf20-01.cnf,2,SAT,nonmoving,1441600,9120,1076128,0.001,0.011
data/satlib/uf20-91/uf20-01.cnf,3,SAT,nonmoving,1441600,9120,1076128,0.000,0.011
data/satlib/uf20-91/uf20-01.cnf,4,SAT,nonmoving,1441600,9120,1076128,0.001,0.012
data/satlib/uf20-91/uf20-01.cnf,5,SAT,nonmoving,1441600,9120,1076128,0.001,0.012
data/satlib/uf20-91/uf20-01.cnf,6,SAT,nonmoving,1441600,9120,1076128,0.001,0.012
data/satlib/uf20-91/uf20-01.cnf,7,SAT,nonmoving,1441600,9120,1076128,0.001,0.012
data/satlib/uf20-91/uf20-01.cnf,8,SAT,nonmoving,1441600,9120,1076128,0.001,0.013
data/satlib/uf20-91/uf20-01.cnf,9,SAT,nonmoving,1441600,9120,1076128,0.001,0.010
data/satlib/uf20-91/uf20-01.cnf,10,SAT,nonmoving,1441600,9120,1076128,0.001,0.011
data/satlib/uf20-91/uf20-01.cnf,11,SAT,nonmoving,1441600,9120,1076128,0.001,0.013
data/satlib/uf20-91/uf20-01.cnf,12,SAT,nonmoving,1441600,9120,1076128,0.001,0.011
data/satlib/uf20-91/uf20-01.cnf,13,SAT,nonmoving,1441600,9120,1076128,0.001,0.013
data/satlib/uf20-91/uf20-01.cnf,14,SAT,nonmoving,1441600,9120,1076128,0.001,0.012
data/satlib/uf20-91/uf20-01.cnf,15,SAT,nonmoving,1441600,9120,1076128,0.001,0.013
data/satlib/uf20-91/uf20-01.cnf,16,SAT,nonmoving,1441600,9120,1076128,0.001,0.016
data/satlib/uf20-91/uf20-01.cnf,17,SAT,nonmoving,1441600,9120,1076128,0.001,0.012
data/satlib/uf20-91/uf20-01.cnf,18,SAT,nonmoving,1441600,9120,1076128,0.001,0.012
data/satlib/uf20-91/uf20-01.cnf,19,SAT,nonmoving,1441600,9120,1076128,0.001,0.012
data/satlib/uf20-91/uf20-01.cnf,20,SAT,nonmoving,1441600,9120,1076128,0.001,0.012
data/satlib/uf20-91/uf20-01.cnf,21,SAT,nonmoving,1441600,9120,1076128,0.001,0.012
data/satlib/uf100-430/uf100-01.cnf,1,SAT,nonmoving,142861920,526432,1187128,0.021,0.025
data/satlib/uf100-430/uf100-01.cnf,2,SAT,nonmoving,142861920,526776,1187128,0.019,0.024
data/satlib/uf100-430/uf100-01.cnf,3,SAT,nonmoving,142861920,525680,1187128,0.034,0.038
data/satlib/uf100-430/uf100-01.cnf,4,SAT,nonmoving,142861920,526432,1187128,0.020,0.024
data/satlib/uf100-430/uf100-01.cnf,5,SAT,nonmoving,142861920,526432,1187128,0.020,0.023
data/satlib/uf100-430/uf100-01.cnf,6,SAT,nonmoving,142861920,526512,1187128,0.019,0.022
data/satlib/uf100-430/uf100-01.cnf,7,SAT,nonmoving,142861920,525848,1187128,0.019,0.025
data/satlib/uf100-430/uf100-01.cnf,8,SAT,nonmoving,142861920,525864,1187128,0.019,0.023
data/satlib/uf100-430/uf100-01.cnf,9,SAT,nonmoving,142861920,526440,1187128,0.019,0.024
data/satlib/uf100-430/uf100-01.cnf,10,SAT,nonmoving,142861920,526160,1187128,0.019,0.024
data/satlib/uf100-430/uf100-01.cnf,11,SAT,nonmoving,142861920,525864,1187128,0.019,0.023
data/satlib/uf100-430/uf100-01.cnf,12,SAT,nonmoving,142861920,525864,1187128,0.019,0.034
data/satlib/uf100-430/uf100-01.cnf,13,SAT,nonmoving,142861920,526440,1187128,0.019,0.024
data/satlib/uf100-430/uf100-01.cnf,14,SAT,nonmoving,142861920,525864,1187128,0.020,0.023
data/satlib/uf100-430/uf100-01.cnf,15,SAT,nonmoving,142861920,526776,1187128,0.019,0.023
data/satlib/uf100-430/uf100-01.cnf,16,SAT,nonmoving,142861920,526696,1187128,0.027,0.037
data/satlib/uf100-430/uf100-01.cnf,17,SAT,nonmoving,142861920,526656,1187128,0.034,0.047
data/satlib/uf100-430/uf100-01.cnf,18,SAT,nonmoving,142861920,525480,1187128,0.025,0.036
data/satlib/uf100-430/uf100-01.cnf,19,SAT,nonmoving,142861920,526816,1187128,0.025,0.035
data/satlib/uf100-430/uf100-01.cnf,20,SAT,nonmoving,142861920,526432,1187128,0.019,0.023
data/satlib/uf100-430/uf100-01.cnf,21,SAT,nonmoving,142861920,526376,1187128,0.020,0.023
data/satlib/flat200-479/flat200-1.cnf,1,SAT,nonmoving,217212144,5401984,1927688,0.028,0.036
data/satlib/flat200-479/flat200-1.cnf,2,SAT,nonmoving,217212144,5396768,1927688,0.029,0.038
data/satlib/flat200-479/flat200-1.cnf,3,SAT,nonmoving,217212144,5401984,1927688,0.028,0.036
data/satlib/flat200-479/flat200-1.cnf,4,SAT,nonmoving,217212144,5401984,1927688,0.036,0.050
data/satlib/flat200-479/flat200-1.cnf,5,SAT,nonmoving,217212144,5399584,1927688,0.034,0.047
data/satlib/flat200-479/flat200-1.cnf,6,SAT,nonmoving,217212144,5396648,1927688,0.107,0.137
data/satlib/flat200-479/flat200-1.cnf,7,SAT,nonmoving,217212144,5401984,1927688,0.107,0.127
data/satlib/flat200-479/flat200-1.cnf,8,SAT,nonmoving,217212144,5400720,1927688,0.038,0.048
data/satlib/flat200-479/flat200-1.cnf,9,SAT,nonmoving,217212144,5399384,1927688,0.038,0.046
data/satlib/flat200-479/flat200-1.cnf,10,SAT,nonmoving,217212144,5401984,1927688,0.034,0.046
data/satlib/flat200-479/flat200-1.cnf,11,SAT,nonmoving,217212144,5401984,1927688,0.030,0.048
data/satlib/flat200-479/flat200-1.cnf,12,SAT,nonmoving,217212144,5401984,1927688,0.034,0.046
data/satlib/flat200-479/flat200-1.cnf,13,SAT,nonmoving,217212144,5401904,1927688,0.032,0.046
data/satlib/flat200-479/flat200-1.cnf,14,SAT,nonmoving,217212144,5401984,1927688,0.048,0.062
data/satlib/flat200-479/flat200-1.cnf,15,SAT,nonmoving,217212144,5396848,1927688,0.031,0.047
data/satlib/flat200-479/flat200-1.cnf,16,SAT,nonmoving,217212144,5401984,1927688,0.033,0.048
data/satlib/flat200-479/flat200-1.cnf,17,SAT,nonmoving,217212144,5401984,1927688,0.030,0.046
data/satlib/flat200-479/flat200-1.cnf,18,SAT,nonmoving,217212144,5396848,1927688,0.030,0.046
data/satlib/flat200-479/flat200-1.cnf,19,SAT,nonmoving,217212144,5396768,1927688,0.031,0.046
data/satlib/flat200-479/flat200-1.cnf,20,SAT,nonmoving,217212144,5401984,1927688,0.033,0.045
data/satlib/flat200-479/flat200-1.cnf,21,SAT,nonmoving,217212144,5396808,1927688,0.030,0.037
data/satlib/Bejing/3blocks.cnf,1,SAT,nonmoving,164447920,37434832,16533696,0.023,0.072
data/satlib/Bejing/3blocks.cnf,2,SAT,nonmoving,164447920,37430000,15167656,0.025,0.070
data/satlib/Bejing/3blocks.cnf,3,SAT,nonmoving,164447920,37429992,15167656,0.024,0.071
data/satlib/Bejing/3blocks.cnf,4,SAT,nonmoving,164447920,37429992,15167656,0.038,0.090
data/satlib/Bejing/3blocks.cnf,5,SAT,nonmoving,164447920,37434832,16533696,0.039,0.108
