case,run,result,gc_mode,allocated_bytes,copied_bytes,max_residency_bytes,mut_elapsed_s,total_elapsed_s
data/satlib/uf20-91/uf20-01.cnf,1,SAT,nonmoving,1148208,7336,1076128,0.001,0.013
data/satlib/uf20-91/uf20-01.cnf,2,SAT,nonmoving,1148208,7336,1076128,0.001,0.013
data/satlib/uf20-91/uf20-01.cnf,3,SAT,nonmoving,1148208,7336,1076128,0.000,0.013
data/satlib/uf20-91/uf20-01.cnf,4,SAT,nonmoving,1148208,7336,1076128,0.001,0.011
data/satlib/uf20-91/uf20-01.cnf,5,SAT,nonmoving,1148208,7336,1076128,0.000,0.010
data/satlib/uf20-91/uf20-01.cnf,6,SAT,nonmoving,1148208,7336,1076128,0.001,0.013
data/satlib/uf20-91/uf20-01.cnf,7,SAT,nonmoving,1148208,7336,1076128,0.001,0.011
data/satlib/uf20-91/uf20-01.cnf,8,SAT,nonmoving,1148208,7336,1076128,0.001,0.011
data/satlib/uf20-91/uf20-01.cnf,9,SAT,nonmoving,1148208,7336,1076128,0.001,0.013
data/satlib/uf20-91/uf20-01.cnf,10,SAT,nonmoving,1148208,7336,1076128,0.001,0.011
data/satlib/uf20-91/uf20-01.cnf,11,SAT,nonmoving,1148208,7336,1076128,0.001,0.013
data/satlib/uf20-91/uf20-01.cnf,12,SAT,nonmoving,1148208,7336,1076128,0.001,0.011
data/satlib/uf20-91/uf20-01.cnf,13,SAT,nonmoving,1148208,7336,1076128,0.001,0.013
data/satlib/uf20-91/uf20-01.cnf,14,SAT,nonmoving,1148208,7336,1076128,0.002,0.013
data/satlib/uf20-91/uf20-01.cnf,15,SAT,nonmoving,1148208,7336,1076128,0.000,0.011
data/satlib/uf20-91/uf20-01.cnf,16,SAT,nonmoving,1148208,7336,1076128,0.001,0.012
data/satlib/uf20-91/uf20-01.cnf,17,SAT,nonmoving,1148208,7336,1076128,0.001,0.012
data/satlib/uf20-91/uf20-01.cnf,18,SAT,nonmoving,1148208,7336,1076128,0.001,0.013
data/satlib/uf20-91/uf20-01.cnf,19,SAT,nonmoving,1148208,7336,1076128,0.001,0.013
data/satlib/uf20-91/uf20-01.cnf,20,SAT,nonmoving,1148208,7336,1076128,0.001,0.011
